5'nucleotidase increased	5'nucléotidase augmentée
Acute cholestatic hepatitis	Hépatite cholestatique aiguë
Acute confusional state	État confusionnel aigu
Acute conjunctivitis	Conjonctivite aiguë
Acute coronary syndrome	Syndrome coronarien aigu
Acute cystitis	Cystite aiguë
Acute cytolytic hepatitis	Hépatite cytolytique aiguë
Acute depression	Dépression aiguë
Acute diarrhea	Diarrhée aiguë
Acute disseminated encephalomyelitis	Encéphalomyélite aiguë disséminée
Acute duodenal ulcer	Ulcère duodénal aigu
Acute dyspnea	Dyspnée aiguë
Acute dystonia	Dystonie aiguë
Acute enterocolitis	Entérocolite aiguë
Acute exacerbation of chronic bronchitis	Exacerbation aiguë de bronchite chronique
Acute fatty liver	Foie gras aigu
Acute febrile illness	Maladie fébrile aiguë
Acute febrile neutrophilic dermatosis	Dermatose neutrophile fébrile aiguë
Acute gastritis	Gastrite aiguë
Acute gastroenteritis	Gastro-entérite aiguë
Acute generalised exanthematous pustulosis	Pustulose exanthémateuse généralisée aiguë
Acute glaucoma	Glaucome aigu
Acute graft rejection	Rejet aigu de greffe
Acute graft versus host disease	Réaction aiguë du greffon contre l'hote
Acute haemolytic anaemia	Anémie hémolytique aiguë
Acute hemorrhage	Hémorragie aiguë
Acute hepatic failure	Insuffisance hépatique aiguë
Acute hepatitis B	Hépatite B aiguë
Acute hypotension	Hypotension aiguë
Acute interstitial nephritis	Néphrite interstitielle aiguë
Acute interstitial pneumonitis	Pneumonie interstitielle aiguë
Acute kidney injury	Lésion rénale aiguë
Acute left ventricular failure	Insuffisance aiguë du ventricule gauche
Acute leukaemia	Leucémie aiguë
Acute liver damage	Dommages hépatiques aigus
Acute liver injury	Lésion hépatique aiguë
Acute lymphocytic leukaemia	Leucémie lymphoïde aiguë
Acute maxillary sinusitis	Sinusite maxillaire aiguë
Acute migraine	Migraine aiguë
Acute myeloid leukaemia	Leucémie myéloïde aiguë
Acute myelomonocytic leukaemia	Leucémie myélomonocytaire aiguë
Acute myocardial infarction	Infarctus aigu du myocarde
Acute myocardial ischemia	Ischémie myocardique aiguë
Acute nephritis	Néphrite aiguë
Acute overdose	Surdosage aigu
Acute pain	Douleur aiguë
Acute pharyngitis	Pharyngite aiguë
Acute phase reaction	Réaction en phase aiguë
Acute phosphate nephropathy	Néphropathie aiguë au phosphate
Acute pneumonia	Pneumonie aiguë
Acute prerenal failure	Insuffisance prérénale aiguë
Acute promyelocytic leukaemia	Leucémie promyélocytaire aiguë
Acute promyelocytic leukaemia differentiation syndrome	Syndrome de différenciation de la leucémie promyélocytaire aiguë
Acute prostatitis	Prostatite aiguë
Acute psychosis	Psychose aiguë
Acute pulmonary oedema	Oedème pulmonaire aigu
Acute renal insufficiency	Insuffisance rénale aiguë
Acute respiratory distress syndrome	Syndrome de détresse respiratoire aiguë
Acute respiratory failure	Insuffisance respiratoire aiguë
Acute respiratory insufficiency	Insuffisance respiratoire aiguë
Acute retention of urine	Rétention aiguë d'urine
Acute schizophrenia	Schizophrénie aiguë
Acute sinusitis	Sinusite aiguë
Acute stress disorder	Trouble de stress aigu
Acute swimmers' ear	Otite externe aiguë
Acute tonsillitis	Amygdalite aiguë
Acute ulcerative colitis	Colite ulcéreuse aiguë
Acute urticaria	Urticaire aiguë
Acute uveitis	Uvéite aiguë
Acute yellow liver atrophy	Atrophie jaune aiguë du foie
Adams-Stokes syndrome	Syndrome d'Adams-Stokes
Addison's disease	Maladie d'Addison
Adenitis	Adénite
Adenocarcinoma	Adénocarcinome
Adenocarcinoma gastric	Adénocarcinome gastrique
Adenocarcinoma of prostate	Adénocarcinome de la prostate
Adenocarcinoma of the gastroesophageal junction	Adénocarcinome de la jonction gastro-?sophagienne
Adenocarcinoma of the prostate metastatic	Adénocarcinome de la prostate métastatique
Adenocarcinoma pancreas	Adénocarcinome pancréatique
Adenoma benign	Adénome bénin
Adenomatous polyposis coli	Polypose adénomateuse colique
Adenomyosis	Adénomyose
Adenovirus infection	Infection à adénovirus
ADHF	ADHF
Adhesion	Adhésion
Adjustment disorder	Trouble de l'adaptation
Administration site infection	Infection au site d'administration
Administration site reaction	Réaction au site d'administration
Adnexa uteri cyst	Kyste de l'annexe utérine
Adnexa uteri mass	Masse à l'annexe utérine
Adnexa uteri pain	Douleur de l'annexe utérine
Adnexal torsion	Torsion annexielle
Adnexitis	Annexite
Adrenal adenoma	Adénome surrénalien
Adrenal atrophy	Atrophie surrénale
Adrenal carcinoma	Carcinome surrénalien
Adrenal cortex atrophy	Atrophie du cortex surrénal
Adrenal cortical hypofunction	Hypofonction corticale surrénale
Adrenal disorder	Trouble surrénalien
Adrenal gland cancer	Cancer de la glande surrénale
Adrenal haemorrhage	Hémorragie surrénale
Adrenal insufficiency	Insuffisance surrénale
Adrenal neoplasm	Tumeur surrénale
Adrenergic syndrome	Syndrome adrénergique
Adrenocortical carcinoma	Carcinome corticosurrénalien
Adrenocortical insufficiency acute	Insuffisance corticosurrénale aiguë
Adrenocorticotropic hormone deficiency	Carence en hormone adrénocorticotrope
Adrenogenital syndrome	Syndrome surrénogénital
Advanced breast cancer	Cancer avancé du sein 
Advanced cancer	Cancer avancé
Adverse reaction	Réaction indésirable
Aerophagia	Aérophagie
Affect lability	État affectif élémentaire
Affective disorder	Trouble affectif
African trypanosomiasis	Trypanosomiase africaine
Agammaglobulinemia	Agammaglobulinémie
AGEP	AGEP
Age-related macular degeneration	Dégénérescence maculaire liée à l'âge
Ageusia	Ageusie
Aggravation of existing disorder	Aggravation d'un trouble existant
Aggression	Agression
Aggressive reaction	Réaction agressive
Aggressive systemic mastocytosis	Mastocytose systémique agressive
Agitated depression	Dépression agitée
Agitation	Agitation
Agitation postoperative	Agitation postopératoire
Agnosia	Agnosie
Agoraphobia	Agoraphobie
Agranulocytosis	Agranulocytose
AIDS dementia complex	Complexe de la démence du SIDA
AION	AION
Airway complication of anaesthesia	Complication des voies respiratoires due à l'anesthésie
Airway edema	Oedème des voies respiratoires
Airway obstruction NOS	Obstruction des voies respiratoires SAI
Akathisia	Akathisie
Akinaesthesia	Akinesthésie
Akinesia	Akinésie
Akinetic seizures	Crises akinétiques
Alanine aminotransferase abnormal	Alanine aminotransférase anormale
Alanine aminotransferase decreased	Alanine aminotransférase diminuée
Alanine aminotransferase increased	Alanine aminotransférase augmentée
Alanine aminotransferase normal	Alanine aminotransférase normale
Albinism	Albinisme
Albright's disease	Maladie d'Albright
Albumin globulin ratio abnormal	Rapport globuline-albumine anormal
Albumin high	Albumine haute
Albumin low	Albumine faible
Albumin urine increased	Augmentation d'albumine de l'urine
Albumin urine present	Présence d'albumine de l'urine
Albuminuria	Albuminurie
Alcohol abuse	Abus d'alcool
Alcohol craving	Envie d'alcool
Alcohol intolerance	Intolérance à l'alcool
Alcohol intoxication	Intoxication à l'alcool
Alcohol poisoning	Empoisonnement à l'alcool
Alcohol problem	Problème d'alcool
Alcohol withdrawal syndrome	Syndrome de sevrage alcoolique
Alcoholic liver disease	Maladie alcoolique du foie
Alcoholic pancreatitis	Pancréatite alcoolique
Alcoholic psychosis	Psychose alcoolique
Alcoholism	Alcoolisme
Aldosterone low	Aldostérone faible
Alertness decreased	Vigilance diminué
Algodystrophy	Algodystrophie
Alkalemia	Alcaliémie
Alkaline phosphatase serum increased	Augmentation du sérum de phosphatase alcaline
Alkalosis	Alcalose
Alkalosis hypochloraemic	Alcalose hypochlorémique
Alkalosis hypokalaemic	Alcalose hypokaliémique
Allergic asthma	Asthme allergique
Allergic bronchitis	Bronchite allergique
Allergic bronchospasm	Bronchospasme allergique
Allergic conditions	Conditions allergiques
Allergic contact dermatitis	Dermatite allergique de contact
Allergic cutaneous angiitis	Angiite cutanée allergique
Allergic exanthema	Exanthème allergique
Allergic granulomatous angiitis	Angiite granulomateuse allergique
Allergic hepatitis	Hépatite allergique
Allergic oedema	?dème allergique
Allergic rash	Éruption allergique
Allergic sinusitis	Sinusite allergique
Allergic skin reaction	Réaction allergique cutanée
Allergic urticaria	Urticaire allergique
Allergy aggravated	Allergie aggravée
Allergy to nuts	Allergie aux noix
Allodynia	Allodynie
Alopecia	Alopécie
Alopecia areata	Alopécie areata
Alopecia reversible	Alopécie réversible
Altered state of consciousness	État de conscience altéré
Altered visual depth perception	Perception de la profondeur visuelle altérée
Aluminium overload	Surcharge en aluminium
Alveolar osteitis	Ostéite alvéolaire
Alveolar proteinosis	Protéinose alvéolaire
Alveolitis	Alvéolite
Alveolitis allergic	Alvéolite allergique
Amaurosis	Amaurose
Amaurosis fugax	Amaurosis fugax
Amblyopia	Amblyopie
Amblyopia tobacco	Tabac d'amblyopie
Amelia	Amelie
Amenorrhea secondary	Aménorrhée secondaire
Amenorrhoea	Aménorrhée
Amino acid metabolism disorder	Trouble du métabolisme des acides aminés
Aminoaciduria	Aminoacidurie
AML progression	Progression de la LMA
Ammonia increased	Ammoniac augmenté
Amnesia	Amnésie
Amnesia transient	Amnésie transitoire
Amnestic symptoms	Symptômes amnésiques
Amniotic cavity infection	Infection de la cavité amniotique
Amniotic fluid embolism	Embolie du liquide amniotique
Amoebiasis	Amibiase
Amoebic colitis	Colite amibienne
Amylase decreased	Amylase diminuée
Amylase increased	Amylase augmentée
Amyloidosis	Amylose
Amyotrophic lateral sclerosis	Sclérose latérale amyotrophique
ANA increased	ANA augmenté
Anaemia	Anémie
Anaemia NOS aggravated	Anémie SAI aggravée
Anaemia macrocytic	Anémie macrocytaire
Anaemia megaloblastic	Anémie mégaloblastique
Anaemia neonatal	Anémie néonatale
Anaemia of pregnancy	Anémie de grossesse
Anaemia postoperative	Anémie postopératoire
Anaemia vitamin B12 deficiency	Anémie pernicieuse
Anaemias NEC	Anaemias NEC
Anaemias haemolytic immune	Immunité hémolytique aux anémies
Anaesthetic complication	Complication anesthésique
Anaesthetic complication neurological	Complication anesthésique neurologique
Anal abscess	Abcès anal
Anal atresia	Atrésie anale
Anal cancer	Cancer anal
Anal candidiasis	Candidose anale
Anal discomfort	Gêne anale
Anal fissure	Fissure anale
Anal fistula	Fistule anale
Anal haemorrhage	Hémorragie anale
Anal inflammation	Inflammation anale
Anal irritation	Irritation anale
Anal pruritus	Prurit anal
Anal skin tags	Acrochordons anaux
Anal spasm	Spasme anal
Anal sphincter atony	Atonie du sphincter anal
Analgesic asthma syndrome	Syndrome d'asthme analgésique
Analgesic effect	Effet analgésique
Analgesic therapy	Thérapie analgésique
Anaphylactic responses	Réponses anaphylactiques
Anaphylactic shock	Choc anaphylactique
Anaphylactoid reaction	Réaction anaphylactoïde
Anaphylactoid syndrome of pregnancy	Syndrome anaphylactoïde de la grossesse
Anaplastic astrocytoma	Astrocytome anaplasique
Anaplastic large-cell lymphoma	Lymphome anaplasique à grandes cellules
Anaplastic thyroid cancer	Cancer de la thyroïde anaplasique
Anastomotic leak	Fuite anastomotique
Anastomotic ulcer	Ulcère anastomotique
Androgen deficiency	Carence en androgènes
Androgenetic alopecia	Alopécie androgénétique
Anemic	Anémique
Anencephaly	Anencéphalie
Aneurysm	Anévrisme
Anger	Colère
Angiitis necrotising	Angiite nécrosante
Angina decubitus	Angine decubitus
Angina pectoris	Angine de poitrine
Angina pectoris aggravated	Angine de poitrine aggravée
Angina symptom	Symptôme d'angine
Angina unstable	Angine instable
Anginal attack	Attaque angulaire
Angiodermatitis	Angiodermatite
Angioedema	Angioedème
Angioedema of larynx	Angioedème du larynx
Angioimmunoblastic T-cell lymphoma	Lymphome angio-immunoblastique à cellules T
Angiomyolipoma	Angiomyolipome
Angiopathy	Angiopathie
Angle closure glaucoma	Glaucome à angle fermé
Angular cheilitis	Cheilite angulaire
Anhedonia	Anhédonie
Anhidrosis	Anhidrose
Animal bite	Morsure d'animal
Animal scratch	Égratignure animale
Anion gap increased	Écart anionique augmenté
Anisocytosis	Anisocytose
Ankle edema	?dème de la cheville
Ankle fracture	Fracture de la cheville
Ankle sprain	Entorse de la cheville
Ankylosing spondylitis	Spondylarthrite ankylosante
Anogenital warts	Verrues anogénitales
Anophthalmos	Anophtalmie
Anorectal discomfort	Gêne anorectale
Anorectal disorder	Trouble anorectal
Anorectal human papilloma virus infection	Infection par le papillomavirus humain anorectal
Anorectal infection	Infection anorectale
Anorexia	Anorexie
Anorexia nervosa	Anorexie nerveuse
Anorgasmia	Anorgasmie
Anosmia	L'anosmie
Anosognosia	Anosognosie
Anovulation	Anovulation
Anovulatory cycle	Cycle anovulatoire
Anoxia	Anoxie
Antepartum hemorrhage	Hémorragie antepartum
Anterior chamber cell	Cellule de la chambre antérieure
Anterior chamber flare	Évasement de la chambre antérieure
Anterior chamber inflammation	Inflammation de la chambre antérieure
Anterior chamber pigmentation	Pigmentation de la chambre antérieure
Anterior horn cell disease	Maladie des cellules de la corne antérieure
Anterior ischemic optic neuropathy	Neuropathie optique ischémique antérieure
Anterior myocardial infarction	Infarctus du myocarde antérieur
Anterior spinal artery syndrome	Syndrome de l'artère spinale antérieure
Anterior uveitis	Uvéite antérieure
Anterograde amnesia	Amnésie antérograde
Anthrax	Anthrax
Anti-thyroid antibody positive	Anticorps anti-thyroïdien positif
Antibiotic associated colitis	Colite associée aux antibiotiques
Antibiotic-associated diarrhea	Diarrhée associée aux antibiotiques
Antibody NOS negative	Anticorps NOS négatif
Antibody test negative	Test d'anticorps négatif
Antibody test positive	Test d'anticorps positif
Anticholinergic syndrome	Syndrome anticholinergique
Antidiuresis	Antidiurèse
Antidiuretic hormone abnormality	Anomalie de l'hormone antidiurétique
Antineutrophil cytoplasmic antibody positive	Anticorps cytoplasmique antineutrophile positif
Antinuclear antibody increased	Augmentation des anticorps antinucléaires
Antinuclear antibody positive	Anticorps antinucléaires positifs
Antisocial behaviour	Comportement anti-social
Antisocial personality disorder	Trouble antisocial de la personnalité 
Antitussive therapy	Thérapie antitussive
Anuria	Anurie
Anus disorder	Trouble de l'anus
Anxiety	Anxiété
Anxiety NEC	Anxiété NEC
Anxiety aggravated	Anxiété aggravée
Anxiety attack	Crise d'angoisse
Anxiety depression	Anxiété dépression
Anxiety disorder	Trouble anxieux
Anxiety neurosis	Névrose d'anxiété
Anxiety state	État d'anxiété
Anxiety symptoms NOS	Symptômes d'anxiété SAI
Anxious mood	Humeur anxieuse
Aortic aneurysm	Anévrisme aortique
Aortic aneurysm rupture	Rupture d'un anévrisme aortique
Aortic arteriosclerosis	Artériosclérose aortique
Aortic bruit	Bruit aortique
Aortic disorder	Trouble aortique
Aortic dissection	Dissection de l'aorte
Aortic embolus	Embolie aortique
Aortic rupture	Rupture aortique
Aortic valve incompetence	Incompétence valvulaire aortique
Aortic valve sclerosis	Sclérose valvulaire aortique
Aortic valve stenosis	Sténose valvulaire aortique
Apathy	Apathie
Apgar score low	Score d'Apgar faible
Aphagia	Aphagie
Aphakia	Aphakia
Aphakic cystoid macular oedema	?dème maculaire cystoïde aphaque
Aphasia	Aphasie
Aphonia	Aphonie
Aphthous stomatitis	Stomatite aphteuse
Aplasia	Aplasie
Aplasia cutis congenita	Aplasia cutis congénitale
Aplasia pure red cell	Aplasie des globules rouges purs
Aplastic anaemia	Anémie aplasique
Apnoea	Apnée
Apnoea neonatal	Apnée néonatale
Apocrine and eccrine gland disorders	Troubles des glandes apocrines et eccrines
Apoptosis	Apoptose
Appendicitis	Appendicite
Appetite absent	Appétit absent
Appetite disorder	Trouble de l'appétit
Appetite exaggerated	Appétit exagéré
Application and instillation site reactions	Réactions au site d'application et d'instillation
Application site anaesthesia	Anesthésie au site d'application
Application site atrophy	Atrophie du site d'application
Application site burn	Brûlure au site d'application
Application site cellulitis	Cellulite au site d'application
Application site discharge	Décharge au site d'application
Application site discolouration	Décoloration du site d'application
Application site discomfort	Gêne au site d'application
Application site dryness	Sécheresse du site d'application
Application site eczema	Eczéma au site d'application
Application site erosion	Érosion du site d'application
Application site erythema	Érythème au site d'application
Application site excoriation	Excoriation du site d'application
Application site exfoliation	Exfoliation du site d'application
Application site folliculitis	Folliculite au site d'application
Application site haematoma	Hématome au site d'application
Application site haemorrhage	Hémorragie au site d'application
Application site hyperaesthesia	Hyperesthésie au site d'application
Application site hypersensitivity	Hypersensibilité au site d'application
Application site induration	Induration du site d'application
Application site infection	Infection du site d'application
Application site inflammation	Inflammation au site d'application
Application site irritation	Irritation au site d'application
Application site oedema	Oedème au site d'application
Application site pain	Douleur au site d'application
Application site papules	Papules du site d'application
Application site paraesthesia	Paresthésie au site d'application
Application site pigmentation changes	Modifications de la pigmentation du site d'application
Application site pruritus	Prurit au site d'application
Application site pustules	Pustules au site d'application
Application site rash	Éruption cutanée au site d'application
Application site reaction	Réaction au site d'application
Application site scab	Gale du site d'application
Application site scar	Cicatrice du site d'application
Application site skin breakdown	Dégradation cutanée au site d'application
Application site stinging	Piqûre au site d'application
Application site swelling	Gonflement au site d'application
Application site ulcer	Ulcère au site d'application
Application site urticaria	Urticaire au site d'application
Application site vesicles	Vésicules au site d'application
Application site warmth	Chaleur du site d'application
Apprehension	Appréhension
Apraxia	Apraxie
Arachnoiditis	Arachnoïdite
Arcus juvenilis	Arcus juvenilis
Arcus lipoides	Arcus lipoides
Arcus senilis	Arcus senilis
Areflexia	Aréflexie
Argininosuccinate synthetase deficiency	Déficit en argininosuccinate synthétase
Argumentativeness	Argumentativité
Arrhythmia	Arythmie
Arrhythmia supraventricular	Arythmie supraventriculaire
Arterial aneurysm	Anévrisme artériel
Arterial anomaly	Anomalie artérielle
Arterial disorder	Trouble artériel
Arterial insufficiency	Insuffisance artérielle
Arterial occlusion	Occlusion artérielle
Arterial occlusive disease	Maladie occlusive artérielle
Arterial spasm	Spasme artériel
Arterial stenosis limb	Sténose artérielle d'un membre
Arterial thromboembolism	Thromboembolie artérielle
Arterial thrombosis	Thrombose artérielle
Arteriosclerosis	Artériosclérose
Arteriosclerosis coronary artery	Artériosclérose de l'artère coronaire
Arteriosclerosis obliterans	Artériosclérose oblitérante
Arteriosclerotic retinopathy	Rétinopathie artériosclérotique
Arteriospasm coronary	Artériospasme coronaire
Arteriovenous fistula	Fistule artérioveineuse
Arteriovenous fistula thrombosis	Thrombose de la fistule artérioveineuse
Arteriovenous malformation	Malformation artérioveineuse
Arteritic anterior ischaemic optic neuropathy	Neuropathie optique ischémique antérieure artéritique
Arteritis	Artérite
Artery dissection	Dissection artérielle
Arthralgia	Arthralgie
Arthralgia aggravated	Arthralgie aggravée
Arthralgia of temporomandibular joint	Arthralgie de l'articulation temporo-mandibulaire
Arthritic pains	Douleurs arthritiques
Arthritis	Arthrite
Arthritis aggravated	Arthrite aggravée
Arthritis bacterial	Arthrite bactérienne
Arthritis infective	Arthrite infectieuse
Arthropathy	Arthropathie
Arthropod bite	Morsure d'arthropode
Arthropod sting	Piqûre d'arthropode
Artificial kidney clotting during dialysis	Coagulation rénale artificielle pendant la dialyse
Artificial menopause	Ménopause artificielle
Ascariasis	Ascariasis
Ascites	Ascite
Ascites chylous	Ascite chyleuse
Aseptic necrosis	Nécrose aseptique
Aseptic necrosis of bone	Nécrose aseptique osseuse
Aseptic peritonitis	Péritonite aseptique
Asocial behaviour	Comportement asocial
Aspartate aminotransferase decreased	Diminution de l'aspartate aminotransférase 
Aspartate aminotransferase increased	Augmentation de l'aspartate aminotransférase
Aspartate aminotransferase normal	Aspartate aminotransférase normale
Aspergilloma	Aspergillome
Aspergillosis	Aspergillose
Aspergillus infection	Infection à Aspergillus
Aspermia	Aspermie
Asphyxia	Asphyxie
Aspiration	Aspiration
Aspiration pneumonitis	Pneumopathie par aspiration
Asplenia	Asplénie
Assault	Agression
Assisted fertilisation	Fécondation assistée
Asteatosis	Asteatosis
Asterixis	Astérixis
Asthenia	Asthénie
Asthenic conditions	Conditions asthéniques
Asthenopia	Asthénopie
Asthma	Asthme
Asthma aggravated	Asthme aggravé
Asthma aspirin-sensitive	Asthme sensible à l'aspirine
Asthma chronic	Asthme chronique
Asthma exercise induced	Exercice de l'asthme induit
Asthma late onset	Apparition tardive de l'asthme
Asthmatic attack	Attaque asthmatique
Astrocytoma	Astrocytome
Astrocytoma, low grade	Astrocytome, bas grade
Asymptomatic bacteriuria	Bactériurie asymptomatique
Asymptomatic hyperlactatemia	Hyperlactatémie asymptomatique
Ataxia	Ataxie
Ataxic gait	Démarche ataxique
Atelectasis	Atélectasie
Atheroma	Athérome
Atherosclerosis	Athérosclérose
Atherosclerosis cerebral	Athérosclérose cérébrale
Atherothrombosis	Athérothrombose
Athetosis	Athétose
Atonia	Atonie
Atonic seizures	Crises atoniques
Atonic urinary bladder	Vessie urinaire atonique
Atopic rhinitis	Rhinite atopique
Atopy	Atopie
Atresia biliary	Atrésie biliaire
Atrial arrhythmia	Arythmie auriculaire
Atrial fibrillation	Fibrillation auriculaire
Atrial fibrillation and flutter	Fibrillation auriculaire et flutter
Atrial flutter	Flutter auriculaire
Atrial hypertrophy	Hypertrophie auriculaire
Atrial pressure	Pression auriculaire
Atrial rhythm	Rythme auriculaire
Atrial septal defect	Défaut septal auriculaire
Atrial tachycardia	Tachycardie auriculaire
Atrioventricular block	Bloc auriculo-ventriculaire
Atrioventricular block complete	Bloc auriculo-ventriculaire complet
Atrioventricular block first degree	Bloc auriculo-ventriculaire premier degré
Atrioventricular block second degree	Bloc auriculo-ventriculaire deuxième degré
Atrioventricular dissociation	Dissociation auriculo-ventriculaire
Atrophic glossitis	Glossite atrophique
Atrophic vulvovaginitis	Vulvovaginite atrophique
Atrophy	Atrophie
Atrophy of vulva	Atrophie de la vulve
Attention concentration difficulty	Difficulté de concentration de l'attention
Attention deficit disorder	Trouble déficitaire de l'attention
Attention deficit/hyperactivity disorder	Déficit d'attention / trouble d'hyperactivité
Atypical femur fracture	Fracture atypique du fémur
Atypical fracture	Fracture atypique
Atypical mycobacterial infection	Infection mycobactérienne atypique
Atypical pneumonia	Pneumonie atypique
Atypical stress fracture	Fracture de stress atypique
Auditory and visual hallucinations	Hallucinations auditives et visuelles
Auditory disorder NOS	Trouble auditif SAI
Aura	Aura
Auricular swelling	Gonflement auriculaire
Autism	Autisme
Autism spectrum disorder	Troubles du spectre autistique
Autoimmune disorder	Maladie auto-immune
Autoimmune haemolytic anaemia	Anémie hémolytique auto-immune
Autoimmune hepatitis	Hépatite auto-immune
Autoimmune thrombocytopenia	Thrombocytopénie auto-immune
Autoimmune thyroiditis	Thyroïdite auto-immune
Automatic bladder	Vessie automatique
Automatism	Automatisme
Autonomic dysfunction	Dysfonctionnement autonome
Autonomic failure syndrome	Syndrome d'échec autonome
Autonomic nervous system imbalance	Déséquilibre du système nerveux autonome
Autonomic neuropathy	Neuropathie autonome
Autonomy of thyroid gland	Autonomie de la glande thyroïde
AV nodal reentrant tachycardia	Tachycardie réentrante nodale AV
AV reentrant tachycardia	Tachycardie réentrante AV
Avascular necrosis femoral head	Tête fémorale de nécrose avasculaire
Avitaminosis	Avitaminose
Axonal neuropathy	Neuropathie axonale
